轮次,比赛时间,主队,比分,客队,赛果,? ? ? ? ? ? ? ?,? ? ? ? ?,盘路,大小,历史交战,分析
1,2018/8/11 3:00,曼 联,vs,莱切城,-,1.444.347.26,,,,17胜 7平 2负,析
1,2018/8/11 19:30,纽卡斯,vs,热 刺,-,3.553.422.05,,,,23胜 6平 21负,析
1,2018/8/11 22:00,哈德斯,vs,切尔西,-,6.214.051.58,,,,0胜 1平 3负,析
1,2018/8/11 22:00,伯恩茅,vs,加的夫,-,2.033.403.68,,,,3胜 2平 3负,析
1,2018/8/11 22:00,富勒姆,vs,水晶宫,-,2.283.313.10,,,,6胜 3平 1负,析
1,2018/8/11 22:00,沃特福,vs,布赖顿,-,2.233.223.30,,,,6胜 6平 5负,析
1,2018/8/12 0:30,狼 队,vs,埃弗顿,-,2.373.263.01,,,,1胜 4平 3负,析
1,2018/8/12 20:30,利物浦,vs,西汉姆,-,1.385.279.51,,,,26胜 12平 9负,析
1,2018/8/12 20:30,南安普,vs,伯恩利,-,1.913.364.15,,,,6胜 6平 5负,析
1,2018/8/12 23:00,阿森纳,vs,曼 城,-,3.443.682.02,,,,25胜 11平 13负,析
