competition_time,team1,team2,净胜球
0,2018-06-14 23:00:00,俄罗斯,沙特阿拉伯,0.824844543559567
0,2018-06-15 20:00:00,埃及,乌拉圭,-0.27592257376454177
0,2018-06-20 02:00:00,俄罗斯,埃及,0.2995738167725434
0,2018-06-20 23:00:00,乌拉圭,沙特阿拉伯,0.49854318089379235
0,2018-06-25 22:00:00,沙特阿拉伯,埃及,-0.14160859246064933
0,2018-06-25 22:00:00,俄罗斯,乌拉圭,0.09868174330951357
0,2018-06-15 23:00:00,摩洛哥,伊朗,-0.10732752605968482
0,2018-06-16 02:00:00,葡萄牙,西班牙,-0.4642256576278872
0,2018-06-20 20:00:00,葡萄牙,摩洛哥,0.27780639908146804
0,2018-06-21 02:00:00,伊朗,西班牙,-0.32609918174470426
0,2018-06-26 02:00:00,伊朗,葡萄牙,-0.06340940378920872
0,2018-06-26 02:00:00,西班牙,摩洛哥,0.37341421834271593
0,2018-06-16 18:00:00,法国,澳大利亚,0.8803998093978144
0,2018-06-16 23:59:00,秘鲁,丹麦,-0.4968100781070756
0,2018-06-21 20:00:00,丹麦,澳大利亚,0.5411760640287326
0,2018-06-21 23:00:00,法国,秘鲁,0.561170647027402
0,2018-06-26 22:00:00,澳大利亚,秘鲁,-0.5206243508348111
0,2018-06-26 22:00:00,丹麦,法国,-0.6210764273692252
0,2018-06-16 21:00:00,阿根廷,冰岛,0.7103186692759106
0,2018-06-17 03:00:00,克罗地亚,尼日利亚,-0.0001980686512361718
0,2018-06-22 02:00:00,阿根廷,克罗地亚,0.26465485417402496
0,2018-06-22 23:00:00,尼日利亚,冰岛,0.12282964888116303
0,2018-06-27 02:00:00,冰岛,克罗地亚,-0.08928378510854806
0,2018-06-27 02:00:00,尼日利亚,阿根廷,-0.3925449835663566
0,2018-06-17 20:00:00,哥斯达黎加,塞尔维亚,-0.0740983543041804
0,2018-06-18 02:00:00,巴西,瑞士,0.34168939362628253
0,2018-06-22 20:00:00,巴西,哥斯达黎加,0.8257373521938708
0,2018-06-23 02:00:00,塞尔维亚,瑞士,-0.002519611783528694
0,2018-06-28 02:00:00,塞尔维亚,巴西,-0.799752770754618
0,2018-06-28 02:00:00,瑞士,哥斯达黎加,0.0787768383900044
0,2018-06-17 23:00:00,德国,墨西哥,0.38272694152438214
0,2018-06-18 20:00:00,瑞典,韩国,0.1873016076348048
0,2018-06-23 23:00:00,韩国,墨西哥,-0.2216899084721929
0,2018-06-24 02:00:00,德国,瑞典,0.7898998455585676
0,2018-06-27 22:00:00,韩国,德国,-0.7230996496468588
0,2018-06-27 22:00:00,墨西哥,瑞典,-0.20440344333353005
0,2018-06-18 23:00:00,比利时,巴拿马,0.369149066188107
0,2018-06-19 02:00:00,突尼斯,英格兰,-0.3333333333333333
0,2018-06-23 20:00:00,比利时,突尼斯,0.3786837418652139
0,2018-06-24 20:00:00,英格兰,巴拿马,0.6205943532342473
0,2018-06-29 02:00:00,英格兰,比利时,-0.19035309434759964
0,2018-06-29 02:00:00,巴拿马,突尼斯,0.0
0,2018-06-19 20:00:00,哥伦比亚,日本,0.6778226861541976
0,2018-06-19 23:00:00,波兰,塞内加尔,-0.06439191196333822
0,2018-06-24 23:00:00,日本,塞内加尔,0.0501167032860656
0,2018-06-25 02:00:00,波兰,哥伦比亚,-0.4292244644835696
0,2018-06-28 22:00:00,日本,波兰,0.11139417735817714
0,2018-06-28 22:00:00,塞内加尔,哥伦比亚,-0.7467717786518392
