赛事,时间,主队,主,和,客,客队,比分
世界杯分,2018/6/29 2:00,英格兰,2.551↓,2.936↓,3.273↑,比利时,0:01
世界杯分,2018/6/29 2:00,巴拿马,4.170↑,3.577↓,1.923??,突尼斯,1:02
世界杯分,2018/6/28 22:00,塞内加尔,4.710↑,3.607↑,1.809↓,哥伦比亚,0:01
世界杯分,2018/6/28 22:00,日本,3.062↑,3.165??,2.577??,波兰,0:01
世界杯分,2018/6/28 2:00,瑞士,1.629??,3.597??,6.872↓,哥斯达黎加,2:02
世界杯分,2018/6/28 2:00,塞尔维亚,7.364↑,4.484↑,1.458??,巴西,0:02
世界杯分,2018/6/27 22:00,墨西哥,2.301??,3.276↑,3.289??,瑞典,0:03
世界杯分,2018/6/27 22:00,韩国,15.884↑,7.263??,1.190??,德国,2:00
世界杯分,2018/6/27 2:00,冰岛,4.239↑,3.749↑,1.850↓,克罗地亚,1:02
世界杯分,2018/6/27 2:00,尼日利亚,6.160↑,4.776↓,1.489??,阿根廷,1:02
世界杯分,2018/6/26 22:00,澳大利亚,2.991↑,3.433??,2.397↓,秘鲁,0:02
世界杯分,2018/6/26 22:00,丹麦,5.228↑,2.892??,2.004↓,法国,0:00
世界杯分,2018/6/26 2:00,西班牙,1.356↓,4.907↑,9.589↑,摩洛哥,2:02
世界杯分,2018/6/26 2:00,伊朗,6.655↑,4.014↑,1.568??,葡萄牙,1:01
世界杯分,2018/6/25 22:00,沙特阿拉伯,4.989↑,3.550↓,1.782↓,埃及,2:01
世界杯分,2018/6/25 22:00,乌拉圭,2.655??,3.049??,2.927↓,俄罗斯,3:00
世界杯分,2018/6/25 2:00,波兰,3.336↓,3.344↓,2.252↑,哥伦比亚,0:03
世界杯分,2018/6/24 23:00,日本,3.143↓,3.043↓,2.516↑,塞内加尔,2:02
世界杯分,2018/6/24 20:00,英格兰,1.216↑,6.185↓,16.615↑,巴拿马,6:01
世界杯分,2018/6/24 2:00,德国,1.482↓,4.398↑,6.991↑,瑞典,2:01
世界杯分,2018/6/23 23:00,韩国,5.313↓,3.634↑,1.738↓,墨西哥,1:02
世界杯分,2018/6/23 20:00,比利时,1.326??,5.025↑,10.770↓,突尼斯,5:02
世界杯分,2018/6/23 2:00,塞尔维亚,2.757↓,3.019↑,2.852↑,瑞士,1:02
世界杯分,2018/6/22 23:00,尼日利亚,2.910↓,3.063↓,2.661↑,冰岛,2:00
世界杯分,2018/6/22 20:00,巴西,1.208??,6.351↑,16.772↓,哥斯达黎加,2:00
世界杯分,2018/6/22 2:00,阿根廷,2.034??,3.283↓,4.049↑,克罗地亚,0:03
世界杯分,2018/6/21 23:00,法国,1.559↑,3.962↓,6.931↓,秘鲁,1:00
世界杯分,2018/6/21 20:00,丹麦,1.897↓,3.378↑,4.507↑,澳大利亚,1:01
世界杯分,2018/6/21 2:00,伊朗,17.991↑,6.492↑,1.196??,西班牙,0:01
世界杯分,2018/6/20 23:00,乌拉圭,1.210??,6.435↓,16.375↑,沙特阿拉伯,1:00
世界杯分,2018/6/20 20:00,葡萄牙,1.641↑,3.678??,6.097↓,摩洛哥,1:00
世界杯分,2018/6/20 2:00,俄罗斯,1.959??,3.357??,4.242↓,埃及,3:01
世界杯分,2018/6/19 23:00,波兰,2.375??,3.084??,3.340↑,塞内加尔,1:02
世界杯分,2018/6/19 20:00,哥伦比亚,1.820??,3.373??,5.084↓,日本,1:02
世界杯分,2018/6/19 2:00,突尼斯,8.755↓,4.310↓,1.434↑,英格兰,1:02
世界杯分,2018/6/18 23:00,比利时,1.193??,6.660↑,17.478↓,巴拿马,3:00
世界杯分,2018/6/18 20:00,瑞典,2.181↑,3.062??,3.868↓,韩国,1:00
世界杯分,2018/6/18 2:00,巴西,1.419??,4.451??,8.591↓,瑞士,1:01
世界杯分,2018/6/17 23:00,德国,1.463↑,4.441↓,7.298↓,墨西哥,0:01
世界杯分,2018/6/17 20:00,哥斯达黎加,4.831↓,3.306??,1.866??,塞尔维亚,0:01
世界杯分,2018/6/17 3:00,克罗地亚,1.714??,3.616??,5.456↑,尼日利亚,2:00
世界杯分,2018/6/16 23:59,秘鲁,3.488↓,3.123??,2.282??,丹麦,0:01
世界杯分,2018/6/16 21:00,阿根廷,1.336??,4.890↓,10.360↓,冰岛,1:01
世界杯分,2018/6/16 18:00,法国,1.239??,6.296↓,12.130↓,澳大利亚,2:01
世界杯分,2018/6/16 2:00,葡萄牙,4.076↓,3.261↑,2.006??,西班牙,3:03
世界杯分,2018/6/15 23:00,摩洛哥,2.248??,2.978??,3.726↑,伊朗,0:01
世界杯分,2018/6/15 20:00,埃及,6.833↑,3.776↑,1.578??,乌拉圭,0:01
世界杯分,2018/6/14 23:00,俄罗斯,1.421??,4.331↑,9.181??,沙特阿拉伯,5:00
